Distance_(microns),Gray_Value,Y1,Y2
0.000,29.3000,35.7667,9.3333
1.515,28.3167,30.1333,10.5167
3.030,25.4333,34.3167,11.7667
4.545,24.1333,33.2333,12.3667
6.061,25.4667,30.9167,9.9333
7.576,27.1333,32.4167,12.0167
9.091,24.9833,34.1667,12.8333
10.606,27.9833,29.3833,10.9000
12.121,28.8167,34.4167,10.9167
13.636,27.4667,37.7167,10.4000
15.152,29.9500,34.0500,14.4000
16.667,28.2500,36.5500,10.1667
18.182,28.7167,37.5000,13.6167
19.697,30.5500,35.1833,11.2833
21.212,27.0167,33.8167,12.1000
22.727,26.1667,36.1500,13.8333
24.242,30.0667,34.0333,10.6167
25.758,28.2000,34.7833,12.9000
27.273,30.5167,33.3000,11.0000
28.788,28.8167,35.3500,12.3833
30.303,29.5667,35.8000,12.8500
31.818,30.8167,35.7667,10.7333
33.333,28.4667,36.4667,11.7167
34.848,28.5833,36.6833,9.6833
36.364,31.9833,36.6000,12.4000
37.879,27.0333,35.4667,10.5333
39.394,30.2000,39.7000,11.4833
40.909,29.6167,35.6833,11.2833
42.424,27.8833,33.1333,11.4833
43.939,29.6667,35.6333,12.8000
45.455,30.1000,40.4000,11.1500
46.970,34.5667,34.0500,11.8167
48.485,32.9833,35.2000,11.9000
50.000,34.2500,39.9500,12.0500
51.515,30.5000,40.0833,12.5000
53.030,31.5500,40.6000,12.9500
54.545,33.9500,45.4333,13.5167
56.061,33.3333,35.3167,12.7167
57.576,33.0833,36.1167,12.1833
59.091,33.5333,34.3667,10.7667
60.606,32.2167,38.4667,11.7833
62.121,32.3333,33.8167,11.4667
63.636,30.9000,36.5500,10.5833
65.152,33.1833,37.8000,14.2500
66.667,36.6500,44.7000,10.9667
68.182,34.3500,38.7167,11.7167
69.697,33.5667,40.4333,9.5333
71.212,31.1167,37.2833,9.6000
72.727,34.9333,41.7833,11.0833
74.242,31.7333,40.5167,10.3000
75.758,30.9000,35.6167,10.9000
77.273,34.9833,41.5500,12.0167
78.788,33.0000,39.7667,10.2333
80.303,32.2833,36.3667,10.1500
81.818,32.3500,41.5167,12.4167
83.333,30.2167,35.5833,10.5333
84.848,31.6000,42.1667,11.0167
86.364,29.8000,38.5167,9.9500
87.879,32.7500,39.1500,9.6000
89.394,34.2500,47.5500,12.5500
90.909,29.4333,38.7833,12.7833
92.424,31.7333,37.5333,10.2333
93.939,34.0333,36.3833,12.0667
95.455,34.1833,39.1167,9.3500
96.970,32.9667,40.4167,10.7167
98.485,33.7167,36.9167,11.3000
100.000,34.3333,40.7667,8.8167
101.515,29.8167,39.3333,9.9500
103.030,30.8167,34.5667,11.3833
104.545,34.9667,37.5833,10.2000
106.061,34.2333,35.8000,10.9333
107.576,32.9500,40.5500,11.6333
109.091,34.6833,33.0000,11.2000
110.606,32.3000,38.8000,10.6500
112.121,34.2167,36.4833,11.0500
113.636,31.4167,40.3333,13.5833
115.152,29.0333,33.5167,10.9333
116.667,34.8333,36.1667,9.2000
118.182,33.9333,43.2167,11.2167
119.697,33.7500,37.7000,13.4333
121.212,32.0333,35.6667,10.5333
122.727,33.7333,37.4333,11.4833
124.242,36.8833,39.9500,11.1333
125.758,40.4833,39.5500,14.1167
127.273,40.2667,41.2167,12.3333
128.788,40.7833,38.2667,12.3500
130.303,36.7500,38.2833,11.6667
131.818,37.1500,37.8833,13.4333
133.333,36.1667,43.0167,14.4000
134.848,38.2667,42.7833,14.0500
136.364,40.0667,40.0500,13.6000
137.879,38.5333,39.3333,16.6500
139.394,39.8833,39.3833,12.6333
140.909,35.8333,40.3333,16.6500
142.424,43.2833,35.2500,17.7167
143.939,46.0333,43.4333,19.7667
145.455,39.2833,38.3667,18.4833
146.970,39.9500,37.9500,19.6667
148.485,36.4500,38.1500,19.6667
150.000,40.3500,43.9667,14.5500
151.515,41.8333,40.0000,17.0500
153.030,42.6833,32.9500,20.8333
154.545,45.0000,40.5500,22.5000
156.061,41.4667,40.0667,19.4833
157.576,43.8500,38.8000,19.5500
159.091,43.2667,38.4333,17.8000
160.606,48.5000,44.5500,22.5833
162.121,47.4667,41.0000,20.5500
163.636,46.9167,40.4833,19.8833
165.152,53.1000,42.5000,21.5500
