Distance_(microns),Gray_Value,Y1,Y2
0.000,25.8304,34.0323,11.1323
1.515,25.2912,32.5092,12.8335
3.030,29.4363,31.1643,11.0824
4.545,32.0823,30.2315,10.4605
6.061,31.4053,39.5060,12.2037
7.576,31.1792,33.9832,10.6089
9.091,28.0972,33.8477,11.3822
10.606,29.9602,33.9776,12.5811
12.121,29.6776,34.0344,11.9323
13.636,31.4210,32.1823,12.0196
15.152,32.9905,35.5365,11.9184
16.667,32.3046,40.6484,12.2809
18.182,29.3839,34.3728,11.3379
19.697,32.6353,32.6474,11.5761
21.212,32.8564,31.4524,11.6955
22.727,30.6110,35.5794,11.8765
24.242,32.3617,35.4907,11.6432
25.758,29.3995,35.2688,13.1276
27.273,31.8722,37.3651,12.6736
28.788,30.5557,33.2595,12.0714
30.303,29.3859,36.7985,12.4930
31.818,32.1520,38.2145,12.9166
33.333,33.4936,39.0483,12.3204
34.848,33.9009,37.2700,10.2331
36.364,31.0763,37.0071,11.8995
37.879,34.8134,30.8653,11.3211
39.394,32.6350,37.5120,10.6139
40.909,31.8134,35.9375,13.5586
42.424,28.9982,40.0406,12.2121
43.939,33.7234,31.5380,10.5901
45.455,33.4999,37.2917,11.8762
46.970,32.5168,40.1963,11.5479
48.485,28.9993,37.6162,12.6004
50.000,30.2237,34.6096,9.6352
51.515,31.9938,39.7072,12.4621
53.030,31.4073,44.2389,12.4723
54.545,32.6844,46.9190,10.7595
56.061,31.2287,38.0858,10.4756
57.576,28.9720,37.5015,13.3474
59.091,30.0639,39.7206,12.4023
60.606,30.5094,37.6244,12.3195
62.121,31.2275,38.0393,11.5264
63.636,29.5229,35.3698,11.8238
65.152,28.7365,44.7831,11.1860
66.667,34.1248,41.5069,11.3264
68.182,27.9295,35.5606,11.7538
69.697,27.4390,34.5232,10.6934
71.212,30.6085,35.4104,11.2341
72.727,28.2158,34.1235,9.8936
74.242,27.9104,32.3095,11.0145
75.758,29.2498,29.9516,10.5130
77.273,27.9977,33.7425,10.3986
78.788,25.1044,31.2380,10.9309
80.303,26.9545,29.9533,9.7240
81.818,29.5645,32.3396,10.8567
83.333,27.0405,34.0590,10.6374
84.848,28.6859,34.6149,9.3669
86.364,30.3780,34.0658,10.0670
87.879,28.4498,34.9252,11.4479
89.394,30.3929,35.5703,9.2763
90.909,30.1286,32.9266,9.4958
92.424,31.9905,36.6707,11.0573
93.939,31.3370,36.7804,9.0476
95.455,25.7163,34.1731,11.9329
96.970,30.2516,33.4094,11.8130
98.485,29.9605,34.0436,12.0719
100.000,25.5467,33.4072,9.2442
101.515,28.3220,31.5569,10.1903
103.030,27.7978,34.7266,10.3451
104.545,30.0308,33.0379,9.0687
106.061,33.2441,34.6423,11.6605
107.576,28.1831,35.5230,9.3123
109.091,32.4590,34.4293,9.7811
110.606,31.4758,30.7365,11.6718
112.121,30.5494,28.6728,10.6730
113.636,29.8012,26.5309,9.2487
115.152,32.6298,32.1422,11.1679
116.667,36.9357,35.5819,11.7848
118.182,30.2277,35.3532,11.3051
119.697,34.1889,37.2255,12.0873
121.212,34.6089,34.8041,9.5845
122.727,36.3878,36.1169,11.5848
124.242,34.4077,32.8658,9.4367
125.758,33.6197,32.6258,11.6183
127.273,32.3632,34.4376,11.6686
128.788,30.0133,30.2497,12.0423
130.303,30.6978,32.9098,10.5672
131.818,34.7525,32.3053,10.8477
133.333,32.8467,32.4748,12.1635
134.848,35.0933,32.8630,12.4164
136.364,30.9362,31.3255,11.5599
137.879,32.9711,36.2112,12.1269
139.394,32.6188,29.5693,13.4891
140.909,37.2045,28.6072,13.0510
142.424,39.7182,34.3469,12.6121
143.939,37.6306,34.1527,14.0653
145.455,37.3796,31.0193,14.6600
146.970,37.9966,33.0610,15.3562
148.485,33.0869,33.9809,12.7800
150.000,36.2761,38.5636,12.2932
151.515,29.0658,35.0577,12.6990
153.030,30.3707,31.6231,13.3788
154.545,33.9716,35.6349,13.9712
156.061,38.8515,38.5078,15.2114
157.576,40.1247,31.9058,17.1248
159.091,38.3379,32.9248,13.7678
160.606,42.1889,36.0502,18.0718
162.121,44.2400,30.8954,15.4804
163.636,47.8463,34.1215,19.1152
165.152,49.1586,36.2571,21.8512
166.667,51.4212,35.5621,19.7254
168.182,50.1080,35.2130,19.0790
169.697,55.1470,34.6234,20.9902
171.212,55.4335,39.2385,19.2911
172.727,50.0088,32.1850,20.5993
174.242,56.0189,29.1309,22.3433
175.758,54.2382,32.6756,22.3681
177.273,58.5605,29.5224,22.0570
178.788,59.6354,34.1614,23.1295
180.303,62.2715,31.4071,21.3482
181.818,58.4468,28.6520,22.8084
183.333,58.5465,30.1932,25.4696
184.848,63.8733,32.7684,24.7034
186.364,67.1472,35.2635,22.8477
187.879,73.9655,34.6520,23.6795
189.394,72.3961,36.3172,24.1848
190.909,68.3691,37.5831,26.0612
192.424,73.3954,36.7094,23.8745
193.939,72.1922,37.2706,25.4768
195.455,70.8794,32.4471,25.7826
196.970,69.4340,32.1283,23.4185
198.485,65.5177,34.2445,26.6408
200.000,69.3614,37.7864,26.0473
201.515,65.1046,35.7648,20.5676
203.030,73.3027,34.1848,24.4346
204.545,72.4311,34.0969,26.3914
206.061,74.0949,36.2433,22.9182
207.576,63.7801,28.8584,19.2493
209.091,70.6785,32.2235,23.0572
210.606,74.6981,34.7802,19.5978
212.121,81.4334,38.7679,19.6662
213.636,77.1319,39.1779,23.4894
215.152,84.1219,41.6607,29.1284
216.667,83.2393,37.3073,28.1876
218.182,93.6482,35.0821,23.0529
219.697,78.5369,38.6137,24.7686
221.212,77.4660,39.5015,22.6296
222.727,74.6066,38.8137,24.0168
224.242,76.5900,40.4414,26.4503
225.758,79.8199,42.8694,25.4735
227.273,73.0809,38.5241,22.8239
228.788,74.4833,35.3555,22.9500
230.303,68.2880,35.4846,26.3610
231.818,65.7549,32.2168,23.6088
233.333,69.9840,41.7273,21.3356
234.848,70.5471,36.0541,22.0022
236.364,69.4721,41.1539,19.2636
237.879,63.8073,37.1157,19.5341
239.394,65.9620,35.3818,17.4573
240.909,62.4317,36.4335,18.4857
242.424,68.0228,36.0420,23.6215
243.939,66.5484,37.8274,21.1409
245.455,64.4703,34.3172,18.2237
246.970,59.5079,36.0272,22.5445
248.485,65.1997,32.8981,20.0918
250.000,60.7671,38.7552,20.6838
251.515,62.1475,38.0204,19.4387
253.030,67.8774,40.1796,20.3390
254.545,70.0505,35.8168,18.2713
256.061,74.9483,37.1347,18.5298
257.576,73.9958,41.3531,18.5652
259.091,80.3851,38.6607,20.5009
260.606,83.1541,38.6705,19.0617
262.121,82.8090,41.5892,22.0728
263.636,74.0075,46.8026,17.4644
265.152,68.0444,45.8832,16.9151
266.667,60.5224,44.2659,16.8463
268.182,62.2505,39.1709,18.9359
269.697,68.1705,46.7914,19.6647
271.212,69.8458,45.9298,19.0702
272.727,78.5861,44.3703,16.8232
274.242,78.4161,46.4122,19.0520
275.758,87.4986,44.2382,18.6191
277.273,91.7002,52.9833,21.9029
278.788,86.5474,51.7281,16.9659
280.303,76.3921,51.9862,19.1832
281.818,73.3865,49.5552,16.7966
283.333,72.3206,47.9053,18.9101
284.848,71.2067,49.9009,17.8247
286.364,67.1422,45.2177,17.0421
287.879,63.5613,51.3447,15.3360
289.394,69.2837,56.9121,15.4120
290.909,66.5398,48.4442,15.3954
292.424,64.1319,51.2519,14.1151
293.939,59.8928,49.1039,13.1792
295.455,60.7211,55.6453,12.8088
296.970,59.6758,54.0884,13.8441
298.485,54.0075,51.3712,12.8204
300.000,56.5152,50.1539,13.8854
301.515,48.6712,52.2175,11.6400
303.030,51.8431,52.5483,12.3417
304.545,57.8545,49.2284,10.9676
306.061,60.6004,48.8649,13.5786
307.576,54.5862,51.9534,12.0332
309.091,49.7748,47.6250,10.1517
310.606,42.8798,48.3051,10.5130
312.121,39.9762,55.5130,10.3275
313.636,39.8290,48.5409,11.6246
315.152,42.0824,56.6731,11.0601
316.667,38.1207,48.2746,13.3105
318.182,44.5362,50.1760,10.2009
319.697,41.2648,51.7920,10.5394
321.212,44.2460,56.1287,14.0469
322.727,41.4559,49.4230,13.7787
324.242,46.5175,48.1437,11.7817
325.758,47.0582,44.0507,11.7713
327.273,47.2065,46.2609,12.1040
328.788,50.0901,41.8709,13.1262
330.303,52.0264,51.6968,10.2948
331.818,48.0121,54.0872,12.1836
333.333,43.4826,47.5069,11.6981
334.848,42.7289,53.3908,10.2793
336.364,45.4298,57.7793,10.6420
337.879,41.4334,57.2862,11.2842
339.394,37.9474,57.1241,10.6067
340.909,35.8130,61.0926,11.2681
342.424,37.5978,57.8405,9.4831
343.939,35.4014,51.4303,11.4151
345.455,38.3040,52.1901,11.9284
346.970,38.9210,52.2756,10.0762
348.485,38.6061,57.8956,12.8794
350.000,34.8449,63.6917,10.2703
351.515,38.9525,66.6781,11.6670
353.030,38.7722,58.3760,10.6840
354.545,39.5970,51.4115,9.7411
356.061,37.1208,61.1982,11.1803
357.576,36.4749,56.0619,10.3239
359.091,36.6863,59.9122,10.7206
360.606,39.0509,58.9460,13.7167
362.121,42.3375,65.4432,12.2107
363.636,42.9549,64.7993,11.7584
365.152,40.9748,69.7392,11.3401
366.667,41.0295,64.7898,11.0098
368.182,39.1274,63.3618,12.2952
369.697,39.2092,64.9322,10.3354
371.212,40.8966,71.7909,11.7195
372.727,39.2695,73.7469,12.7190
374.242,37.8359,65.6417,11.0586
375.758,35.1800,62.2138,11.9989
377.273,37.1768,64.1720,11.7625
378.788,44.8600,63.6605,13.8292
380.303,42.7727,58.1189,11.5255
381.818,40.1923,64.7947,11.1093
383.333,37.9211,64.7769,11.3414
384.848,33.8299,60.2446,13.2999
386.364,33.3818,53.3100,10.6406
387.879,34.3810,52.4074,13.1572
389.394,32.0401,46.9885,10.3282
390.909,29.5359,47.6248,8.2849
392.424,33.5585,43.8648,8.9634
393.939,28.0038,41.2253,9.8079
395.455,32.2308,44.4594,9.2730
396.970,33.9548,45.3397,8.0932
398.485,32.3409,37.3536,8.1074
400.000,34.9376,40.6929,9.3302
401.515,35.9989,42.5797,7.6428
403.030,33.5175,38.6487,8.5231
404.545,31.3920,38.3261,8.1455
406.061,30.2530,32.4824,8.7769
407.576,31.7749,36.2968,6.9151
409.091,30.6087,34.3840,7.3683
410.606,35.1035,32.8530,6.6944
412.121,36.7953,30.8161,6.8853
413.636,37.8219,28.7807,8.8364
415.152,39.1589,27.4440,9.8819
416.667,47.2020,32.6475,7.2978
418.182,43.3564,33.4367,8.2543
419.697,41.6562,31.2680,8.5231
421.212,40.7705,29.3429,8.1305
422.727,39.8466,27.7318,8.2981
424.242,38.4711,29.1119,8.4550
