Distance_(microns),Gray_Value,Y1,Y2
0.000,54.468,36.351,20.5649
1.515,56.025,36.628,20.0841
3.030,54.359,35.059,20.1702
4.545,54.599,33.297,20.5426
6.061,52.346,36.604,22.6113
7.576,55.548,36.878,23.6936
9.091,54.952,38.871,22.1288
10.606,52.597,38.819,24.8888
12.121,54.857,31.922,26.3749
13.636,55.684,30.914,22.7759
15.152,55.262,33.646,26.2248
16.667,51.010,33.745,24.2351
18.182,61.116,33.428,22.4681
19.697,56.051,37.851,22.2831
21.212,55.801,37.174,21.3010
22.727,54.986,33.583,22.7018
24.242,53.266,35.285,22.7787
25.758,55.653,34.503,24.6007
27.273,57.486,36.478,21.0495
28.788,55.762,37.564,22.8693
30.303,58.169,37.235,20.5841
31.818,54.182,36.129,23.3525
33.333,56.133,33.091,22.8698
34.848,61.325,36.063,22.6756
36.364,59.001,37.726,24.4211
37.879,55.943,38.012,21.5269
39.394,57.499,38.549,21.1661
40.909,54.357,34.207,19.5965
42.424,51.879,34.692,20.2058
43.939,50.690,32.817,21.8329
45.455,57.364,33.947,19.4673
46.970,54.974,34.731,20.4594
48.485,52.844,35.960,20.8700
50.000,50.239,35.338,20.4661
51.515,53.821,37.317,24.0223
53.030,57.078,38.930,25.4104
54.545,57.160,36.849,21.7886
56.061,52.260,38.530,19.9369
57.576,52.021,32.429,21.4841
59.091,58.348,34.694,24.9101
60.606,61.923,35.063,23.9280
62.121,59.276,35.998,22.5024
63.636,53.737,38.416,21.3995
65.152,57.453,37.446,23.6085
66.667,63.280,34.911,22.4962
68.182,60.586,36.231,24.0302
69.697,56.572,40.095,22.1452
71.212,54.010,43.909,24.2043
72.727,53.865,40.473,25.7009
74.242,56.422,38.721,24.0266
75.758,53.178,41.756,21.0665
77.273,56.032,43.733,23.6569
78.788,56.752,45.241,23.6100
80.303,59.686,44.759,21.7437
81.818,58.890,44.774,24.0818
83.333,64.264,48.365,24.1293
84.848,59.093,47.301,23.9304
86.364,51.157,45.602,19.8188
87.879,55.063,44.756,22.3082
89.394,54.465,47.029,23.4367
90.909,60.929,48.130,28.0840
92.424,53.966,49.556,25.0185
93.939,55.620,52.084,27.9094
95.455,53.594,52.348,28.1517
96.970,52.705,52.089,30.9783
98.485,50.978,47.975,24.4566
100.000,52.619,44.570,26.1823
101.515,51.674,40.935,26.6331
103.030,47.928,41.986,24.1696
104.545,52.815,43.683,25.1710
106.061,54.509,46.677,25.6110
107.576,54.910,52.817,25.4467
109.091,54.553,61.508,26.5773
110.606,52.887,64.840,28.3829
112.121,51.760,64.434,25.6423
113.636,56.851,63.897,22.6644
115.152,54.577,63.387,26.5463
116.667,59.936,61.252,25.3026
118.182,62.795,63.174,26.0678
119.697,56.596,65.604,35.4183
121.212,58.140,68.022,28.2082
122.727,60.473,65.784,30.5975
124.242,62.311,89.488,41.3415
125.758,58.203,98.884,42.5472
127.273,61.908,103.787,40.1608
128.788,60.579,98.742,43.5228
130.303,62.514,88.916,40.4384
131.818,61.802,79.787,41.2165
133.333,63.462,81.438,46.0070
134.848,61.425,92.778,44.6009
136.364,66.966,98.483,42.1560
137.879,61.948,101.247,41.2136
139.394,64.481,107.120,40.8756
140.909,60.901,103.588,39.6485
142.424,61.224,110.432,36.5425
143.939,63.340,117.774,38.3653
145.455,61.978,124.635,40.6576
146.970,62.804,119.644,35.7766
148.485,59.283,117.241,40.1318
150.000,58.437,123.444,40.3112
151.515,61.754,133.244,40.7617
153.030,61.790,131.004,43.0943
154.545,61.309,132.252,43.8192
156.061,61.296,128.446,43.1211
157.576,59.588,134.861,39.4255
159.091,56.033,130.667,36.4728
160.606,63.272,144.170,38.5927
162.121,62.558,152.814,36.2053
163.636,61.614,151.841,39.9248
165.152,57.869,159.661,38.4262
166.667,56.866,169.899,42.9184
168.182,61.009,177.298,45.6579
169.697,63.233,179.531,49.2525
171.212,56.651,183.379,47.0454
172.727,57.511,183.474,41.6284
174.242,56.366,172.899,37.6439
175.758,59.566,175.817,44.5860
177.273,60.436,196.158,45.7039
178.788,61.704,215.913,45.2359
180.303,70.810,228.274,48.7326
181.818,68.902,236.275,47.0183
183.333,73.254,225.521,41.7643
184.848,73.319,219.624,39.7425
186.364,76.448,226.969,40.2637
187.879,76.041,238.575,41.6652
189.394,70.863,240.225,43.0049
190.909,73.294,238.664,50.0810
192.424,76.974,264.635,43.1551
193.939,80.821,267.979,47.9969
195.455,83.927,259.810,43.5493
196.970,82.719,239.375,40.3019
198.485,82.099,240.042,38.5643
200.000,86.193,238.251,38.3161
201.515,87.831,258.193,36.0739
203.030,86.673,261.390,37.8050
204.545,92.076,278.276,33.1924
206.061,88.859,278.658,34.6123
207.576,97.423,278.106,36.6049
209.091,103.793,281.694,33.6386
210.606,102.691,271.719,31.5319
212.121,101.868,257.576,30.7558
213.636,109.488,274.687,28.0739
215.152,109.719,248.028,26.8975
216.667,109.261,231.434,26.7045
218.182,106.306,233.252,24.1396
219.697,101.659,231.891,24.7349
221.212,90.361,206.024,23.1491
222.727,80.942,189.738,19.1320
224.242,77.055,159.822,18.6266
225.758,73.696,151.595,21.1944
227.273,80.415,152.481,21.5445
228.788,80.043,159.542,20.9653
230.303,72.147,153.489,17.5427
231.818,73.271,150.467,18.4545
233.333,73.155,144.100,20.3570
234.848,75.480,146.779,18.7695
236.364,75.922,139.607,19.5279
237.879,75.069,136.886,17.0215
239.394,74.716,137.127,16.4185
240.909,71.383,131.639,17.2443
242.424,62.184,124.431,18.1477
243.939,58.404,113.998,17.8611
245.455,57.670,115.876,17.9684
246.970,62.539,113.061,14.5429
248.485,67.609,109.901,15.1510
250.000,74.013,120.034,16.8426
251.515,71.452,142.855,18.6397
253.030,69.232,143.731,17.5257
254.545,71.798,144.315,16.2779
256.061,70.848,133.702,16.8533
257.576,79.777,126.890,16.3902
259.091,74.481,125.500,17.2056
260.606,76.909,125.096,19.3084
262.121,69.715,150.698,21.2537
263.636,72.722,139.010,20.9148
265.152,81.990,133.572,20.3339
266.667,96.765,132.801,21.1276
268.182,106.767,136.163,19.8381
