Distance_(microns),Gray_Value,Y1,Y2
0.000,53.1866,22.508,22.2134
1.515,46.7661,25.771,18.4541
3.030,50.5613,23.437,19.8212
4.545,47.5305,25.467,17.3434
6.061,56.1673,27.392,19.4473
7.576,56.5285,26.206,19.0424
9.091,57.9344,25.425,18.8192
10.606,55.7157,29.325,19.7085
12.121,59.2257,28.732,20.3848
13.636,57.5186,29.151,18.4218
15.152,57.3593,26.236,22.9818
16.667,55.1098,31.883,20.0080
18.182,52.9308,40.289,21.7287
19.697,53.3809,28.994,21.3902
21.212,57.4976,25.694,20.3038
22.727,54.8228,24.862,20.6361
24.242,56.2238,24.204,19.2968
25.758,59.7014,27.255,22.1193
27.273,49.1386,26.577,20.7730
28.788,51.7520,25.576,20.2028
30.303,48.4226,25.726,21.0651
31.818,51.4291,26.275,16.8173
33.333,51.7006,23.960,16.4356
34.848,56.0442,24.506,20.8861
36.364,53.9042,24.110,21.9706
37.879,51.9792,29.114,21.0053
39.394,56.7466,29.193,19.1137
40.909,54.1192,26.912,18.1542
42.424,51.7564,24.379,21.8252
43.939,50.3144,27.691,22.2583
45.455,52.9763,28.677,20.5334
46.970,53.7723,26.840,22.4443
48.485,51.0107,30.085,17.2708
50.000,52.3858,28.107,22.1206
51.515,53.7913,24.798,17.9929
53.030,44.9742,25.771,20.8360
54.545,51.3190,23.799,20.6418
56.061,51.0139,26.907,17.9713
57.576,53.5504,29.567,19.2144
59.091,50.8999,25.053,21.9798
60.606,54.2288,27.252,24.0880
62.121,53.5657,32.519,20.4537
63.636,54.2388,28.383,22.9850
65.152,56.5307,32.987,22.4938
66.667,49.3120,29.626,21.3206
68.182,51.9501,28.410,20.2327
69.697,52.9490,27.291,22.5178
71.212,53.1851,26.980,25.2454
72.727,56.2972,27.417,22.6022
74.242,53.6731,28.704,21.4715
75.758,53.5597,28.673,19.8179
77.273,51.3462,28.104,21.8638
78.788,51.2396,28.109,22.6736
80.303,46.6888,26.366,21.3815
81.818,49.2226,30.958,21.1159
83.333,53.5748,29.212,22.0140
84.848,53.3756,30.624,19.4473
86.364,53.7552,29.078,21.6787
87.879,46.1998,28.404,21.4063
