Distance_(microns),Gray_Value,Y1,Y2
0.000,96.2700,35.3493,22.1888
1.515,96.8160,34.4703,27.5922
3.030,101.5849,33.9158,26.2697
4.545,100.3963,36.5918,26.1786
6.061,105.5500,32.7822,24.5893
7.576,101.5041,34.5699,26.4685
9.091,100.0201,38.4624,24.8051
10.606,98.5146,34.6560,21.1473
12.121,95.7963,34.0794,23.7621
13.636,101.2888,34.5574,24.9281
15.152,96.4019,37.6567,22.9172
16.667,90.5790,37.2769,21.0004
18.182,95.2598,33.8136,25.2694
19.697,88.6697,38.2994,22.6234
21.212,99.7949,34.9789,21.1874
22.727,102.5390,33.3030,24.5554
24.242,96.6518,35.3991,26.0294
25.758,95.1388,30.9522,23.9899
27.273,88.6687,31.1381,20.4411
28.788,93.9049,30.4970,19.7077
30.303,96.0835,33.4448,24.8244
31.818,90.2735,32.8104,21.8283
33.333,98.2419,33.3243,24.6666
34.848,86.3619,32.0787,21.3559
36.364,86.9736,32.1455,23.4044
37.879,91.3503,33.1925,24.1176
39.394,88.5604,32.9787,22.7136
40.909,96.4431,32.2963,25.2787
42.424,98.8899,33.5229,23.1745
43.939,93.6524,32.5721,20.9459
45.455,95.4881,31.1060,20.7439
46.970,95.9211,31.4290,21.7434
48.485,100.3866,29.4266,25.0800
50.000,99.4679,33.0024,25.3610
51.515,95.4871,33.0202,22.9791
53.030,95.9097,28.4285,22.9352
54.545,96.9332,31.3211,20.9520
56.061,93.4163,36.4596,25.1411
57.576,95.9391,34.3160,23.4932
59.091,97.6204,33.7668,25.6930
60.606,99.4432,32.2743,21.3450
62.121,99.3876,33.1011,19.9860
63.636,95.7544,34.9634,23.5898
65.152,94.8453,31.4780,26.0339
66.667,95.3679,36.8557,25.0806
68.182,93.8335,32.9302,20.9443
69.697,95.4592,36.5944,24.2313
71.212,91.7393,33.7999,21.7901
72.727,95.2803,34.0723,23.3378
74.242,102.2096,34.8583,20.7707
75.758,94.9357,34.6098,20.2616
77.273,82.8447,28.6071,23.2500
78.788,83.8971,30.9305,21.0891
80.303,94.7889,32.5337,26.0475
81.818,96.4454,29.3150,23.8706
83.333,96.0136,33.0567,27.6790
84.848,96.7365,32.2018,22.7807
86.364,94.1905,32.7388,21.0985
87.879,95.1201,32.1569,22.8607
89.394,98.6095,32.2416,26.4729
90.909,91.1065,32.1066,24.0692
92.424,93.1674,33.6643,26.1689
93.939,101.8312,30.8761,23.5984
95.455,93.5136,35.3085,19.9666
96.970,94.0433,32.2193,24.5426
98.485,90.5123,34.4349,20.4619
100.000,96.6819,29.8370,23.0157
101.515,98.3814,30.4556,24.6880
103.030,93.7393,32.2370,28.0380
104.545,85.5755,29.1480,25.0484
106.061,91.6806,34.2252,22.1378
107.576,89.4568,30.1673,23.9398
109.091,92.1798,34.4865,22.1126
110.606,91.9792,37.6245,29.2455
112.121,96.2038,35.8896,25.2604
113.636,97.3325,34.3703,29.3396
115.152,92.5176,35.7829,27.9478
116.667,90.4885,32.3847,28.3012
118.182,89.5301,29.6761,26.7760
119.697,89.7819,31.5093,26.2014
121.212,88.5369,32.9218,27.3924
122.727,91.5610,27.9727,29.2109
124.242,90.6738,28.8309,29.3372
125.758,96.7779,29.5502,31.8412
127.273,99.0976,32.7369,31.9930
128.788,93.9794,33.9590,36.0850
130.303,90.3806,32.6969,33.2691
131.818,93.9726,38.3042,29.8181
133.333,92.0108,33.6126,34.2985
134.848,89.5860,34.6857,37.2994
136.364,89.5584,36.5648,39.0417
137.879,92.7438,32.4773,45.8657
139.394,90.8289,33.2802,39.4704
