Distance_(microns),Gray_Value,Y1,Y2
0.000,30.0652,33.4237,12.8850
1.515,30.4629,38.1760,12.1050
3.030,29.9551,40.3850,12.4267
4.545,32.9860,33.0103,11.1885
6.061,33.4217,37.6032,10.6521
7.576,31.1271,37.3957,11.8015
9.091,34.2935,39.2462,13.0192
10.606,32.8761,35.6207,12.6479
12.121,35.4621,36.5843,11.3767
13.636,30.4488,37.3917,11.8077
15.152,32.9250,38.6010,12.3319
16.667,29.0836,39.9360,10.6757
18.182,31.6443,37.4073,12.3787
19.697,34.8952,43.3567,12.6955
21.212,34.4178,45.5770,12.0201
22.727,30.1443,36.9469,11.4854
24.242,30.8078,35.6839,11.1741
25.758,32.9172,42.3072,10.4169
27.273,31.9436,37.8270,10.4846
28.788,33.8698,39.5151,10.4359
30.303,33.4740,39.8116,11.5797
31.818,34.7918,34.5783,9.6651
33.333,33.6593,40.2287,10.4516
34.848,31.8514,40.5318,11.1713
36.364,32.1249,38.9127,11.9381
37.879,33.7264,36.5914,11.7398
39.394,30.0531,36.8148,12.8646
40.909,30.4045,35.7200,10.6907
42.424,29.3663,36.6517,9.9872
43.939,29.5985,36.7395,10.2598
45.455,27.9053,37.0201,10.5787
46.970,28.8109,37.0302,8.8981
48.485,27.6847,33.3055,9.2979
50.000,28.1436,29.9799,9.4162
51.515,26.3755,31.5629,10.6795
53.030,25.3371,34.2776,11.5613
54.545,25.3418,32.6156,9.8269
56.061,27.4085,37.3105,9.1807
57.576,25.7556,39.4958,9.8102
59.091,25.3332,36.5540,10.0132
60.606,27.1278,31.0040,11.0740
62.121,26.7109,34.4192,11.4336
63.636,25.3063,38.8888,10.9976
65.152,25.4472,38.5566,10.9774
66.667,26.8853,36.9380,9.0416
68.182,27.6448,32.7745,11.9329
69.697,30.2413,34.8796,9.1398
71.212,29.2198,35.2415,9.3349
72.727,25.9159,37.3351,10.2574
74.242,26.2715,37.9981,11.3161
75.758,25.9870,34.7834,11.6895
77.273,26.3662,40.4394,8.1817
78.788,24.9311,36.4421,7.6559
80.303,25.9374,34.8987,10.2692
81.818,24.8508,32.8485,9.5260
83.333,24.6362,32.0774,10.7795
84.848,24.6186,34.1009,9.9870
86.364,28.1030,32.2355,9.2954
87.879,25.7656,34.9635,11.0003
89.394,27.0644,34.5505,10.4890
90.909,23.5977,38.3361,11.2684
92.424,23.9399,38.2896,11.2397
93.939,23.6942,31.4988,8.8987
95.455,23.7614,34.2540,9.3303
96.970,25.8279,31.2284,9.9574
98.485,24.3323,37.0883,11.4428
100.000,25.7217,29.8250,11.1754
101.515,24.8010,36.0298,11.1525
103.030,26.3052,32.4693,10.1715
104.545,29.6598,35.3296,9.5628
106.061,27.8935,33.9333,9.9496
107.576,26.2735,36.7347,11.8875
109.091,27.0981,35.7233,10.4072
110.606,26.3428,36.1860,7.9349
112.121,27.4166,39.3070,10.9603
113.636,30.6173,41.9877,11.8104
115.152,28.5917,38.5096,11.0708
116.667,27.9013,36.5608,12.1203
118.182,29.0203,36.2761,10.1746
119.697,29.9595,42.2990,10.4926
121.212,29.1902,43.0674,12.6467
122.727,34.3802,39.7014,11.0499
124.242,31.4621,43.4923,11.4660
125.758,32.4612,38.9134,11.5534
127.273,34.5325,39.4080,10.9562
128.788,32.7954,39.3589,12.9670
130.303,36.6696,40.2672,13.3453
131.818,40.9340,41.5520,14.2485
133.333,34.9347,45.8688,12.9126
134.848,37.4525,49.9275,13.3779
136.364,37.2687,42.3506,14.0123
137.879,35.5822,44.1062,12.6699
139.394,40.6782,45.3513,12.7155
140.909,41.8379,40.0602,10.9003
